Title,AxialLength,TipLength,Curvature,MaxDiameter,LWRatio,TailLength,TailPct,Shape,BodyLength,TailBodyRatio,Volume,AverageCrossSectionRadius,weight_g,weight_oz,HashedName
20220326T082237.000000-0500_M1_L1_G1_C1_V1_V2_nir.bmp,3.64474932044109,3.34884744991678,1.10076028701821,3.61547354406696,0.91351656619721,0.0091637734279523,0.0025142396972429,Undefined,3.63558554701313,0.002520577032077,17.0446415430584,10.6088697925418,266.53558212957574,9.401767018615333,e864692c07acec3d59f5593f93f15693.bmp
20220326T082237.000000-0500_M2_L4_G1_C4_V1_V2_nir.bmp,6.50862954656445,6.05435440598715,1.09370691594402,2.94297651474409,1.99219059185519,0.0962585731806683,0.0147893765487818,Undefined,6.41237097338378,0.015011385582683,22.2353903660735,5.95449307414091,347.7059168494743,12.264966632573474,3a3f275f78cf0d34a118f147f685e8d3.bmp
20220326T082245.000000-0500_M1_L4_G1_C4_V1_V2_nir.bmp,4.41232023655597,4.30072718834592,1.03654232575898,3.37394761344235,1.25831842790469,0.0116793190748411,0.0026469790152759,Undefined,4.40064091748113,0.0026540041084575,22.157014095067,6.70359523289663,346.4803079116102,12.221734544768667,0c9063e042622095b7b7925de34c942f.bmp
20220326T082245.000000-0500_M2_L3_G1_C3_V1_V2_nir.bmp,6.95636570572479,5.18360542630004,1.39829477066544,4.32794869085932,1.14513067827655,0.0263233883763725,0.0037840719550885,Undefined,6.93004231734841,0.0037984455463533,29.9303369883709,12.1943995305789,468.03564465564995,16.509473340488658,34e5c5757b5728ff51cdc8327c4b5e00.bmp
20220326T082245.000000-0500_M3_L2_G1_C2_V1_V2_nir.bmp,6.22781721098196,5.3253072099109,1.16855055577746,2.14536771480307,2.3740983005848,0.276022485672563,0.0443209035078667,Undefined,5.9517947253094,0.046376345020571,10.3827239683548,4.6241132044857,162.35984605514818,5.727075663191059,4d5224dc281244429e7386955db8eb28.bmp
20220326T082249.000000-0500_M3_L1_G1_C1_V1_V2_nir.bmp,8.04238420734393,7.75433300280787,1.06864950560274,2.59087559047298,2.78102544602624,0.342453601680053,0.0425811044151983,Undefined,7.69993060566387,0.0444748945436149,20.6018843324031,2.50673031684884,322.16196624795344,11.363930191691198,d74a5dcf17830ac52ed69136df060ba7.bmp
20220326T082249.000000-0500_M3_L2_G1_C2_V1_V2_nir.bmp,4.77787663979604,4.61544647791017,1.04671346322938,2.80846039964735,1.62104112526223,0.0125777282344447,0.0026324932983162,Undefined,4.7652989115616,0.0026394416106675,16.7779388276586,6.39981216114174,262.3650184175113,9.254654696711313,9e42245a862fc279aaf5f207878e60ce.bmp
20220326T082249.000000-0500_M3_L3_G1_C3_V1_V2_nir.bmp,7.00508122070824,6.32768808156946,1.1417407503329,2.48084749881703,2.39716642807333,0.21514402636762,0.0307125670051643,Undefined,6.78993719434062,0.0316857167024964,18.3898798235824,3.9470473265338,287.5717457412698,10.143795935214065,f5852c74561443727a44d2d3b7f64a02.bmp
20220326T082254.000000-0500_M1_L2_G1_C2_V1_V2_nir.bmp,9.20617990888641,9.0377180068583,1.04699128571352,3.39768587532021,2.51527339886398,0.258478363944094,0.028076614459228,Undefined,8.94770154494232,0.0288876827915879,42.4184119272013,2.71511527624311,663.3179165116103,23.39785352667736,236d78c1c54a1e5b334f50d15bf90287.bmp
20220326T082255.000000-0500_M2_L3_G1_C3_V1_V2_nir.bmp,5.58410711631051,5.25632967103354,1.08647980940665,3.1714546697326,1.52678964333693,0.323215269552347,0.0578812803587299,Undefined,5.26089184675816,0.061437353012972,24.8160491424535,5.23828630806238,388.0609684651166,13.688449344649102,8d0bf60c5f5df1a4b145fc94c16200a7.bmp
20220326T082257.000000-0500_M3_L4_G1_C4_V1_V2_nir.bmp,6.69106563468255,6.61863413884471,1.05909765855303,2.20145568883247,2.67216903930947,0.460752367086391,0.0688608350661099,Undefined,6.23031326759616,0.0739533226174617,12.0993776819641,1.29637843482414,189.2040185017136,6.673976085017086,b2888447e8809fcd5b8f2ef9f9f5590d.bmp
20220326T082302.000000-0500_M1_L3_G1_C3_V1_V2_nir.bmp,5.48474043176631,5.34763145332657,1.03715422265589,3.72689576525117,1.41517948255693,0.0145542283855717,0.0026535856284605,Undefined,5.47018620338073,0.0026606458801305,34.1607328180309,6.2547867945067,534.1884594419582,18.842945469339806,2559d6d5f882463d4c75637bbded13b4.bmp
20220326T082309.000000-0500_M3_L2_G1_C2_V1_V2_nir.bmp,5.00397945114601,4.56927911661713,1.11878392700129,3.07539522956123,1.28911562040054,0.568515788375366,0.113612734409843,Undefined,4.43546366277065,0.128175052621272,15.8135751298107,4.44931706078553,247.2847810924148,8.722714920478893,b2c29d87d6179afd5a9b7b7e0657f111.bmp
20220326T082309.000000-0500_M3_L4_G1_C4_V1_V2_nir.bmp,4.32970759743844,4.04236847237985,1.09519843718634,2.04009615509925,1.86059962508476,0.172551024402228,0.0398528123479547,Undefined,4.15715657303621,0.0415069823257112,7.72755211695168,4.79176257369067,120.83959622883188,4.262491789237768,9c917abbf0d73fc1046b6c96f443c1a8.bmp
20220326T082317.000000-0500_M3_L4_G1_C4_V1_V2_nir.bmp,4.96431869731537,4.65774385632047,1.12254870863939,2.33283770871689,1.647430744694,0.650152338051901,0.130965068460148,Undefined,4.31416635926346,0.150701730974254,7.46348551319155,4.23515105031312,116.71025471253286,4.116833537658939,36cdd80d08e8821f78384b443816b4b4.bmp
20220326T082318.000000-0500_M3_L3_G1_C3_V1_V2_nir.bmp,2.73095025066234,2.57175502131711,1.09219986229779,1.47559753227497,1.65059334726729,0.070775738498744,0.0259161581144068,Undefined,2.6601745121636,0.0266056749942995,2.49894054355223,3.35224878707607,39.077182749798,1.3784072093565605,c415c50d1e9214b10767eaa50860c364.bmp
20220326T082318.000000-0500_M3_L4_G1_C4_V1_V2_nir.bmp,3.60224471175738,3.39822345325839,1.07912394568224,2.52953764746265,1.30001949807195,0.0536014472235616,0.014880012745556,Undefined,3.54864326453382,0.0151047719446106,9.34191693686969,4.37226400138042,146.0842261002998,5.152970000913588,e53e851f5434afe64694d6c2259ec487.bmp
